threshold,precision,recall,f1,precision_aware
0.39,0.6044776119402985,0.8804347826086957,0.7168141592920354,0.6641532583613404
0.4,0.6136363636363636,0.8804347826086957,0.7232142857142857,0.6706526721360481
0.41000000000000003,0.6145038167938931,0.875,0.7219730941704036,0.6707140412516481
0.42,0.62890625,0.875,0.7318181818181818,0.6808687841490351
0.43,0.6245059288537549,0.8586956521739131,0.7231121281464531,0.676056807474394
0.44,0.628,0.8532608695652174,0.7235023041474654,0.6779208958478202
0.45,0.639344262295082,0.8478260869565217,0.7289719626168224,0.6852339245361683
0.46,0.640495867768595,0.842391304347826,0.7276995305164319,0.6854279976428077
0.47000000000000003,0.6551724137931034,0.8260869565217391,0.7307692307692307,0.6936871807309015
0.48,0.6637168141592921,0.8152173913043478,0.7317073170731707,0.6982408068051779
0.49,0.6666666666666666,0.8043478260869565,0.729064039408867,0.698922749759574
0.5,0.6681818181818182,0.7989130434782609,0.7277227722772277,0.699277945377658
0.51,0.6682027649769585,0.7880434782608695,0.7231920199501247,0.6979291930770972
0.52,0.6698113207547169,0.7717391304347826,0.7171717171717171,0.6969273801324541
0.53,0.6714975845410628,0.7554347826086957,0.710997442455243,0.6959182296106848
0.54,0.6748768472906403,0.7445652173913043,0.7080103359173127,0.6967117290240945
0.55,0.6733668341708543,0.7282608695652174,0.6997389033942559,0.6934752927072845
0.56,0.6822916666666666,0.7119565217391305,0.6968085106382979,0.6970585911284033
0.5700000000000001,0.6827956989247311,0.6902173913043478,0.6864864864864865,0.694214000011892
0.58,0.6923076923076923,0.6847826086956522,0.6885245901639344,0.699581427806607
0.59,0.7076023391812866,0.657608695652174,0.6816901408450704,0.705178416447745
0.6,0.7134146341463414,0.6358695652173914,0.6724137931034483,0.7053016596077858
0.61,0.7142857142857143,0.625,0.6666666666666666,0.7040130617464377
0.62,0.7161290322580646,0.6032608695652174,0.6548672566371682,0.7013948977237633
0.63,0.7236842105263158,0.5978260869565217,0.6547619047619048,0.7051408812953099
0.64,0.7266666666666667,0.592391304347826,0.6526946107784432,0.7060119211704469
0.65,0.7428571428571429,0.5652173913043478,0.6419753086419753,0.7108913686247446
0.66,0.7388059701492538,0.5380434782608695,0.6226415094339622,0.7030656425083961
0.67,0.75,0.5217391304347826,0.6153846153846154,0.7064855892189652
0.68,0.7580645161290323,0.5108695652173914,0.6103896103896104,0.7090193457849798
0.6900000000000001,0.7711864406779662,0.4945652173913043,0.6026490066225165,0.7132581269293186
0.7000000000000001,0.7522935779816514,0.44565217391304346,0.5597269624573379,0.6909350823316076
0.71,0.75,0.42391304347826086,0.5416666666666666,0.6843702046035806
0.72,0.75,0.4076086956521739,0.528169014084507,0.6803209088289327
0.73,0.7446808510638298,0.3804347826086957,0.5035971223021583,0.6702897668261429
0.74,0.7613636363636364,0.3641304347826087,0.49264705882352944,0.6753461404324576
0.75,0.7738095238095238,0.3532608695652174,0.48507462686567165,0.679297354568044
0.76,0.7763157894736842,0.32065217391304346,0.45384615384615384,0.6711819454942688
0.77,0.7794117647058824,0.28804347826086957,0.42063492063492064,0.6627665631469979
0.78,0.7846153846153846,0.27717391304347827,0.40963855421686746,0.6620694631763331
0.79,0.8,0.2608695652173913,0.39344262295081966,0.6649029914888265
0.8,0.7777777777777778,0.22826086956521738,0.35294117647058826,0.641641446433646
