composite_auc,composite_composite,composite_f1,composite_precision,composite_precision_aware,composite_recall,composite_threshold,f1_auc,f1_composite,f1_f1,f1_precision,f1_precision_aware,f1_recall,f1_threshold,precision_aware_auc,precision_aware_composite,precision_aware_f1,precision_aware_precision,precision_aware_precision_aware,precision_aware_recall,precision_aware_threshold,run,seed
0.6555213753339897,0.8130650677655873,0.6796621182586094,0.5272177419354839,0.5986117815121228,0.9561243144424132,0.05,0.6555213753339897,0.8089352988688525,0.6811308349769888,0.5318275154004107,0.6013572832601,0.946983546617916,0.07,0.6555213753339897,0.5846998846078808,0.5948616600790514,0.6473118279569893,0.633218687069008,0.5502742230347349,0.67,13,41
0.6494726480101252,0.7689695706401954,0.6829618979151689,0.5627962085308057,0.6161812032419786,0.8683729433272395,0.05,0.6494726480101252,0.7618928379577308,0.6837481698389458,0.5702075702075702,0.6201227656574939,0.8537477148080439,0.06,0.6494726480101252,0.5685093998104788,0.5814889336016097,0.6465324384787472,0.6276074289218816,0.5283363802559415,0.41,14,42
0.68373646463226,0.8193082232317634,0.6938502673796791,0.5468914646996839,0.6183481054901977,0.9488117001828154,0.05,0.68373646463226,0.7815146533847306,0.6958424507658644,0.5788834951456311,0.6349417757290269,0.8720292504570384,0.15,0.68373646463226,0.653696405376482,0.6506469500924215,0.6579439252336449,0.6609133405710009,0.643510054844607,0.51,15,43
0.6445928842638167,0.7640740232047175,0.685131195335277,0.5696969696969697,0.6193064203018313,0.8592321755027422,0.05,0.6445928842638167,0.7640740232047175,0.685131195335277,0.5696969696969697,0.6193064203018313,0.8592321755027422,0.05,0.6445928842638167,0.7055182112220503,0.6666666666666666,0.5979680696661829,0.6279026116858547,0.753199268738574,0.12,16,44
0.641622134720855,0.7849851995638252,0.6775956284153005,0.5408942202835333,0.6020502256105278,0.906764168190128,0.05,0.641622134720855,0.7669397821141497,0.6844765342960288,0.5656324582338902,0.6164836163499248,0.8665447897623401,0.09,0.641622134720855,0.6801997065870891,0.6543313708999159,0.6059190031152648,0.6275833397717782,0.7111517367458866,0.24,17,45
0.6739558430600479,0.8282806278025309,0.6784810126582278,0.5188770571151985,0.5977740009670771,0.979890310786106,0.05,0.6739558430600479,0.7953740884344175,0.7028571428571428,0.5767878077373975,0.6340422153378511,0.8994515539305301,0.36,0.6739558430600479,0.6832728473338917,0.6643478260869565,0.6334991708126037,0.6508451018443984,0.6983546617915904,0.67,18,46
0.6509562649416396,0.7078424125407672,0.6732186732186732,0.6097922848664689,0.6370529973871643,0.7513711151736746,0.05,0.6509562649416396,0.7078424125407672,0.6732186732186732,0.6097922848664689,0.6370529973871643,0.7513711151736746,0.05,0.6509562649416396,0.6925029269665812,0.6677908937605397,0.6197183098591549,0.6403876760460673,0.7239488117001828,0.06,19,47
0.6615314301785966,0.6598553731460496,0.6372294372294373,0.6052631578947368,0.6261066961519189,0.6727605118829981,0.05,0.6615314301785966,0.6598553731460496,0.6372294372294373,0.6052631578947368,0.6261066961519189,0.6727605118829981,0.05,0.6615314301785966,0.6202998746960464,0.6181139122315593,0.6316793893129771,0.6335801543616757,0.6051188299817185,0.08,20,48
0.6686155252425819,0.7976580479975172,0.6896551724137931,0.5537098560354374,0.617474584790373,0.9140767824497258,0.05,0.6686155252425819,0.790145798888837,0.6920366455250176,0.5630733944954128,0.6228707959537281,0.8976234003656307,0.07,0.6686155252425819,0.7026857309918023,0.6716791979949874,0.6184615384615385,0.6444576336777819,0.7349177330895795,0.26,21,49
0.6492406131345803,0.7592894308616429,0.6813186813186813,0.5684596577017115,0.6184735558733762,0.850091407678245,0.05,0.6492406131345803,0.7592894308616429,0.6813186813186813,0.5684596577017115,0.6184735558733762,0.850091407678245,0.05,0.6492406131345803,0.6953365458219521,0.6600985221674877,0.5991058122205664,0.6274305853874456,0.7349177330895795,0.12,22,50
