Focal sweep -> epochs=70 batch=16 acc=8 mask_threshold=0.6
Class weights: 1.0:0.75 1.0:0.8 1.0:0.85 0.95:0.8 1.05:0.8 1.1:0.8 0.9:0.8 1.0:1.0
Focal grid (alpha,gamma): 0.22,1.4 0.22,1.6 0.25,1.4 0.25,1.6 0.28,1.4 0.28,1.6 0.32,1.4 0.32,1.6 0.4,1.0 0.35,1.0
# Wed Sep 17 08:43:16 CST 2025 -> class_weight=1.05:0.8, alpha=0.25, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg03
# Wed Sep 17 08:44:35 CST 2025 -> class_weight=1.05:0.8, alpha=0.25, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg04
# Wed Sep 17 08:45:35 CST 2025 -> class_weight=1.05:0.8, alpha=0.28, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg05
# Wed Sep 17 08:46:39 CST 2025 -> class_weight=1.05:0.8, alpha=0.28, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg06
# Wed Sep 17 08:47:55 CST 2025 -> class_weight=1.05:0.8, alpha=0.32, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg07
# Wed Sep 17 08:48:20 CST 2025 -> class_weight=1.05:0.8, alpha=0.32, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg08
# Wed Sep 17 08:49:15 CST 2025 -> class_weight=1.05:0.8, alpha=0.4, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg09
# Wed Sep 17 08:50:49 CST 2025 -> class_weight=1.05:0.8, alpha=0.35, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg10
# Wed Sep 17 08:52:03 CST 2025 -> class_weight=1.1:0.8, alpha=0.22, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg01
# Wed Sep 17 08:53:02 CST 2025 -> class_weight=1.1:0.8, alpha=0.22, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg02
# Wed Sep 17 08:54:22 CST 2025 -> class_weight=1.1:0.8, alpha=0.25, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg03
# Wed Sep 17 08:55:35 CST 2025 -> class_weight=1.1:0.8, alpha=0.25, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg04
# Wed Sep 17 08:56:02 CST 2025 -> class_weight=1.1:0.8, alpha=0.28, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg05
# Wed Sep 17 08:57:34 CST 2025 -> class_weight=1.1:0.8, alpha=0.28, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg06
# Wed Sep 17 08:59:05 CST 2025 -> class_weight=1.1:0.8, alpha=0.32, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg07
# Wed Sep 17 08:59:27 CST 2025 -> class_weight=1.1:0.8, alpha=0.32, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg08
# Wed Sep 17 09:00:59 CST 2025 -> class_weight=1.1:0.8, alpha=0.4, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg09
# Wed Sep 17 09:02:12 CST 2025 -> class_weight=1.1:0.8, alpha=0.35, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg10
# Wed Sep 17 09:03:41 CST 2025 -> class_weight=0.9:0.8, alpha=0.22, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg01
# Wed Sep 17 09:05:06 CST 2025 -> class_weight=0.9:0.8, alpha=0.22, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg02
# Wed Sep 17 09:06:13 CST 2025 -> class_weight=0.9:0.8, alpha=0.25, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg03
# Wed Sep 17 09:07:36 CST 2025 -> class_weight=0.9:0.8, alpha=0.25, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg04
# Wed Sep 17 09:09:08 CST 2025 -> class_weight=0.9:0.8, alpha=0.28, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg05
# Wed Sep 17 09:10:37 CST 2025 -> class_weight=0.9:0.8, alpha=0.28, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg06
# Wed Sep 17 09:11:53 CST 2025 -> class_weight=0.9:0.8, alpha=0.32, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg07
# Wed Sep 17 09:12:15 CST 2025 -> class_weight=0.9:0.8, alpha=0.32, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg08
# Wed Sep 17 09:13:43 CST 2025 -> class_weight=0.9:0.8, alpha=0.4, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg09
# Wed Sep 17 09:14:58 CST 2025 -> class_weight=0.9:0.8, alpha=0.35, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg10
# Wed Sep 17 09:16:29 CST 2025 -> class_weight=1.0:1.0, alpha=0.22, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg01
# Wed Sep 17 09:17:25 CST 2025 -> class_weight=1.0:1.0, alpha=0.22, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg02
# Wed Sep 17 09:18:59 CST 2025 -> class_weight=1.0:1.0, alpha=0.25, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg03
# Wed Sep 17 09:20:17 CST 2025 -> class_weight=1.0:1.0, alpha=0.25, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg04
# Wed Sep 17 09:21:46 CST 2025 -> class_weight=1.0:1.0, alpha=0.28, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg05
# Wed Sep 17 09:22:54 CST 2025 -> class_weight=1.0:1.0, alpha=0.28, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg06
# Wed Sep 17 09:24:27 CST 2025 -> class_weight=1.0:1.0, alpha=0.32, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg07
# Wed Sep 17 09:25:23 CST 2025 -> class_weight=1.0:1.0, alpha=0.32, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg08
# Wed Sep 17 09:26:18 CST 2025 -> class_weight=1.0:1.0, alpha=0.4, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg09
# Wed Sep 17 09:27:13 CST 2025 -> class_weight=1.0:1.0, alpha=0.35, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg10
Focal sweep finished. Results in /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine
