run_dir,auc,f1,recall,TP,FP,FN,TN,composite,alpha,gamma_start,gamma_end,cw_neg,cw_pos,mask_threshold
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg06/01,0.7352254809208452,0.5445026178010471,0.49523809523809526,52,34,53,117,0.5580149291435308,0.28,0.0,1.6,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg07/01,0.6269315673289183,0.12173913043478261,0.06666666666666667,7,3,98,148,0.1952413859295518,0.32,0.0,1.4,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg08/01,0.6994008199306213,0.3611111111111111,0.24761904761904763,26,13,79,138,0.37202302112898145,0.32,0.0,1.6,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg09/01,0.7050141911069063,0.5775401069518716,0.5142857142857142,54,28,51,123,0.5714077274497998,0.4,0.0,1.0,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg10/01,0.6689372437716808,0.43478260869565216,0.3333333333333333,35,21,70,130,0.4308888980296985,0.35,0.0,1.0,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg01/01,0.7098076316619364,0.5333333333333333,0.45714285714285713,48,27,57,124,0.5305329549038158,0.22,0.0,1.4,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg02/01,0.6662882371491643,0.46706586826347307,0.37142857142857144,39,23,66,128,0.45909169362316055,0.22,0.0,1.6,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg03/01,0.7469567959634184,0.5851063829787234,0.5238095238095238,55,28,50,123,0.5868280359910626,0.25,0.0,1.4,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg04/01,0.7441816461684011,0.5088757396449705,0.4095238095238095,43,21,62,130,0.506260955889076,0.25,0.0,1.6,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg05/01,0.7628508356985177,0.5806451612903226,0.5142857142857142,54,27,51,124,0.5839065726696575,0.28,0.0,1.4,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg06/01,0.7482812992746768,0.5310734463276836,0.44761904761904764,47,25,58,126,0.5327878175627643,0.28,0.0,1.6,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg07/01,0.5678965625985494,0.0,0.0,0,0,105,151,0.11357931251970987,0.32,0.0,1.4,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg08/01,0.7106906338694419,0.5113636363636364,0.42857142857142855,45,26,60,125,0.5098329319686936,0.32,0.0,1.6,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg09/01,0.7071586250394197,0.5643564356435643,0.5428571428571428,57,40,48,111,0.5821672271295246,0.4,0.0,1.0,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw07_fg10/01,0.7155471460107222,0.591304347826087,0.6476190476190476,68,57,37,94,0.6443102573594943,0.35,0.0,1.0,0.9,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg01/01,0.7064648375906654,0.29850746268656714,0.19047619047619047,20,9,85,142,0.32608330156219845,0.22,0.0,1.4,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg02/01,0.7479028697571745,0.5968586387434555,0.5428571428571428,57,29,48,122,0.6000667370030429,0.22,0.0,1.6,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg03/01,0.7403973509933774,0.5088757396449705,0.4095238095238095,43,21,62,130,0.5055040968540714,0.25,0.0,1.4,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg04/01,0.7102491327656891,0.55,0.5238095238095238,55,40,50,111,0.5689545884578997,0.25,0.0,1.6,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg05/01,0.7497950173446861,0.5263157894736842,0.42857142857142855,45,21,60,130,0.5221394545967567,0.28,0.0,1.4,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg06/01,0.7122674235257016,0.5870646766169154,0.5619047619047619,59,37,46,114,0.5995252686425959,0.28,0.0,1.6,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg07/01,0.7044465468306529,0.5445544554455446,0.5238095238095238,55,42,50,109,0.5661604079045559,0.32,0.0,1.4,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg08/01,0.732639545884579,0.5573770491803278,0.4857142857142857,51,27,54,124,0.556598166788157,0.32,0.0,1.6,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg09/01,0.7035004730368968,0.532608695652174,0.4666666666666667,49,30,56,121,0.5338160366363649,0.4,0.0,1.0,1.0,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw08_fg10/01,0.7084831283506781,0.5754716981132075,0.580952380952381,61,46,44,105,0.6048143255802884,0.35,0.0,1.0,1.0,1.0,0.6
